idx,AirQualityStation,img_path,s5p_path,Countrycode,Altitude,PopulationDensity,rural,suburban,urban,traffic,industrial,background,no2,o3,pm10,Latitude,Longitude,Temp_3yr,Wind_3yr,Precip_3yr,RH_3yr,Stability_3yr,urban_clc,traffic_clc,rural_clc,num_roads_500m,num_buildings_500m,num_factory_500m,num_industrial_landuse_500m,num_roads_1km,num_buildings_1km,num_factory_1km,num_industrial_landuse_1km,SolarRad_3yr,ClearSkyRad_3yr,Dewpoint_3yr,SkinTemp_3yr,TempRange_3yr,SpecHumidity_3yr,CloudAmt_3yr,year,month,ship_density_1km,ship_density_5km,ship_density_10km
30,STA-LT00042,STA-LT00042/S2A_MSIL2A_20200817T094041_N0214_R036_T35ULB_20200817T110529.npy,STA-LT00042/l3_mean_europe_2018_2020_005dg.netcdf,LT,40.0,71.8,0,0,1,0,1,0,11.23200897,49.22364179,16.69983299,55.07222,24.28389,7.755912408759124,0.5191605839416058,1.9267974452554748,86.23811131386861,0.1960857664233576,1,0,0,100,559,0,1,336,1792,0,3,2.971288235294117,4.17835294117647,5.118076923076923,7.445673076923077,7.874423076923078,6.249038461538461,71.04607843137255,2020,8,0.0,0.0,0.0
35,STA-FR04319,STA-FR04319/S2A_MSIL2A_20200520T105031_N0214_R051_T31UDQ_20200520T134332.npy,STA-FR04319/l3_mean_europe_2018_2020_005dg.netcdf,FR,65.0,6979.0,0,1,0,0,0,1,27.13595219,47.18149177,19.92267595,48.95555,2.57528,11.752883211678832,3.014224452554745,1.9096350364963504,79.57585766423357,0.1965693430656934,1,0,0,128,2140,0,0,840,8214,0,4,3.4521068627450977,4.770203921568627,8.0425,11.838942307692308,9.422211538461536,7.09201923076923,64.17941176470589,2020,5,0.0,0.0,13.9718782173639
38,STA-SI0054A,STA-SI0054A/S2A_MSIL2A_20200912T100031_N0214_R122_T33TWM_20200912T114911.npy,STA-SI0054A/l3_mean_europe_2018_2020_005dg.netcdf,SI,250.0,118.3,0,1,0,0,0,1,16.19827962,43.78955899,26.8767507,46.13878,15.03523,10.46940693430657,0.6622171532846715,2.846906934306569,80.5488503649635,0.467463503649635,1,0,0,48,124,0,0,193,429,0,3,3.5412401960784314,4.927120588235295,6.9183653846153845,9.93528846153846,9.24846153846154,7.167307692307692,64.85686274509804,2020,9,0.0,0.0,0.0
40,STA.DE_DEHE024,STA.DE_DEHE024/S2B_MSIL2A_20200409T102559_N0214_R108_T32UNB_20200409T140105.npy,STA.DE_DEHE024/l3_mean_europe_2018_2020_005dg.netcdf,DE,610.0,98.9,1,0,0,0,0,1,6.254976528,70.26555838,12.54013867,51.29176,9.77459,9.646240875912408,2.453832116788321,1.845857664233577,80.62926094890511,0.2288868613138686,0,0,1,0,1,0,4,0,5,0,9,3.0364754901960787,4.422399019607843,6.155576923076922,9.481346153846154,8.383269230769232,6.482692307692308,70.14274509803921,2020,4,0.0,0.0,0.0
42,STA-RO0192A,STA-RO0192A/S2A_MSIL2A_20200828T090601_N0214_R050_T35TLJ_20200828T114933.npy,STA-RO0192A/l3_mean_europe_2018_2020_005dg.netcdf,RO,31.0,59.5,0,0,1,0,1,0,12.511371,57.0583273,21.33249267,43.75801,24.90175,13.514242700729929,2.244936131386861,1.667052919708029,70.17365875912408,0.2828375912408759,1,0,0,16,1,0,1,84,1,0,1,4.027742156862745,5.078150980392157,6.830288461538462,14.151442307692308,11.18923076923077,6.70201923076923,56.57578431372549,2020,8,0.0,599.8094450049102,104.00159204823356
45,STA_ES1353A,STA_ES1353A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES1353A/l3_mean_europe_2018_2020_005dg.netcdf,ES,216.0,97.0,0,0,1,0,0,1,17.7068906,48.92596431,23.74047315,43.2941,-5.6796,14.067992700729928,2.959397810218978,3.2880018248175182,79.52352189781021,0.3655383211678831,1,0,0,231,713,0,1,540,1784,1,4,3.701847058823529,5.31311274509804,10.461538461538462,14.585865384615383,7.092307692307693,8.275,62.13127450980392,2020,6,0.0,0.0,0.0
47,STA.02.SP18,STA.02.SP18/S2A_MSIL2A_20200707T101031_N0214_R022_T33TUM_20200707T135316.npy,STA.02.SP18/l3_mean_europe_2018_2020_005dg.netcdf,AT,560.0,30.6,0,0,1,0,0,1,19.12021372,35.95075618,18.56537879,46.80139,13.49389,4.622554744525547,0.2956660583941605,3.705155109489052,85.7571806569343,0.5251094890510949,1,0,0,233,794,0,1,563,1772,0,8,3.521907843137255,5.098925490196079,2.0491346153846157,3.732884615384616,9.06721153846154,5.860769230769231,66.69500000000001,2020,7,0.0,0.0,0.0
50,STA.DE_DENI042,STA.DE_DENI042/S2A_MSIL2A_20200723T103031_N0214_R108_T32UNC_20200723T142801.npy,STA.DE_DENI042/l3_mean_europe_2018_2020_005dg.netcdf,DE,170.0,187.5,0,1,0,0,0,1,14.77544369,57.30469446,14.76206264,51.55107,9.94976,9.646240875912408,2.453832116788321,1.845857664233577,80.62926094890511,0.2288868613138686,1,0,0,32,619,0,0,395,3301,0,4,3.0364754901960787,4.422399019607843,6.155576923076922,9.481346153846154,8.383269230769232,6.482692307692308,70.14274509803921,2020,7,0.0,0.0,0.0
51,STA.IT2117A,STA.IT2117A/S2B_MSIL2A_20201122T102339_N0214_R065_T32TLR_20201122T122607.npy,STA.IT2117A/l3_mean_europe_2018_2020_005dg.netcdf,IT,246.0,333.8,0,1,0,0,0,1,25.467851,39.58858899,32.68449198,45.1763,7.7116,11.799315693430655,1.355757299270073,2.4016788321167883,68.82766423357664,0.8704288321167883,1,0,0,136,337,0,0,548,1073,1,3,3.7685460784313727,5.337522549019607,5.730384615384616,11.197211538461538,9.47346153846154,6.871442307692307,65.50715686274509,2020,11,0.0,0.0,0.0
52,STA-RO0150A,STA-RO0150A/S2B_MSIL2A_20200905T092029_N0214_R093_T34TFQ_20200905T113748.npy,STA-RO0150A/l3_mean_europe_2018_2020_005dg.netcdf,RO,203.0,57.3,0,0,1,0,1,0,15.13135781,43.5892287,26.51944903,45.05019,23.27398,10.508804744525548,1.286195255474453,2.453941605839416,75.84598540145986,0.559735401459854,1,0,0,253,612,0,1,673,2159,0,2,3.654405882352941,5.043271568627451,5.422211538461538,10.39798076923077,9.871923076923078,6.482211538461538,63.10833333333333,2020,9,0.0,0.0,0.0
55,STA_PL0241A,STA_PL0241A/S2A_MSIL2A_20200919T095031_N0214_R079_T33UYR_20200919T115531.npy,STA_PL0241A/l3_mean_europe_2018_2020_005dg.netcdf,PL,271.0,471.2,0,0,1,0,0,1,21.06331048,50.33767624,47.93407204,50.00763,18.45555,9.772992700729928,2.687673357664233,2.200410583941606,79.20320255474454,0.3265510948905109,0,0,1,98,437,0,0,578,2169,0,7,3.1331372549019605,4.403711764705882,5.774423076923076,9.573365384615384,8.918557692307692,6.479519230769231,68.12323529411765,2020,9,0.0,0.0,0.0
58,STA_ES1421A,STA_ES1421A/S2B_MSIL2A_20200707T105619_N0214_R094_T30TXK_20200707T135135.npy,STA_ES1421A/l3_mean_europe_2018_2020_005dg.netcdf,ES,915.0,9.0,0,0,1,0,0,1,10.23626243,62.14859438,12.61561562,40.33639,-1.10667,10.966569343065697,2.950748175182482,1.3179288321167884,67.41355839416059,0.1548540145985401,1,0,0,423,179,0,0,1463,989,0,1,4.637835294117647,5.724740196078431,3.865576923076923,11.961730769230767,12.19375,6.078365384615385,49.90980392156863,2020,7,0.0,0.0,0.0
59,STA.DE_DEHE011,STA.DE_DEHE011/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE011/l3_mean_europe_2018_2020_005dg.netcdf,DE,108.0,300.3,0,0,1,0,0,1,25.09217772,51.93285377,17.97076332,50.13577,8.92157,11.434370437956204,2.45889598540146,1.6514598540145986,75.40092153284672,0.2702189781021898,1,0,0,160,1356,0,2,749,4733,0,5,3.1213715686274512,4.510214705882353,6.6775,11.3025,9.540384615384616,6.576634615384616,70.1221568627451,2020,8,0.0,449.4292042860318,155.05154184964098
60,STA.CZ_ZZLN,STA.CZ_ZZLN/S2A_MSIL2A_20200922T100031_N0214_R122_T33UXQ_20200924T114821.npy,STA.CZ_ZZLN/l3_mean_europe_2018_2020_005dg.netcdf,CZ,258.0,149.1,0,1,0,0,0,1,13.65499757,57.95648013,26.01642178,49.23291,17.66718,9.979379562043796,2.7849726277372264,1.938321167883212,78.17591240875912,0.2611313868613138,0,0,1,81,621,0,1,553,2427,0,9,3.2307519607843136,4.550185294117647,5.634807692307692,9.976153846153846,9.265192307692308,6.400480769230769,68.33205882352941,2020,9,0.0,0.0,0.0
61,STA_ES1649A,STA_ES1649A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1649A/l3_mean_europe_2018_2020_005dg.netcdf,ES,350.0,62.3,1,0,0,0,1,0,7.897802449,66.27975092,19.0447353,42.176,-1.744,12.35228102189781,2.748649635036496,1.58257299270073,71.44357664233576,0.1867883211678832,0,0,1,470,122,0,1,1004,325,0,1,4.2442215686274505,5.419935294117647,6.476923076923077,13.256346153846154,12.25394230769231,6.8567307692307695,56.02235294117647,2020,7,0.0,0.0,0.0
62,STA_ES2075A,STA_ES2075A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES2075A/l3_mean_europe_2018_2020_005dg.netcdf,ES,89.0,97.0,0,1,0,0,1,0,13.89432067,37.34781604,19.91716479,43.3457,-5.9697,13.608056569343066,2.129908759124087,3.1597627737226275,80.32321167883211,0.2623083941605839,1,0,0,80,130,0,5,203,223,0,6,3.701847058823529,5.31311274509804,10.092211538461536,14.232788461538462,7.747019230769231,8.098076923076924,62.13127450980392,2020,6,0.0,0.0,0.0
63,STA-FR41003,STA-FR41003/S2A_MSIL2A_20200809T102031_N0214_R065_T32TMM_20200809T130506.npy,STA-FR41003/l3_mean_europe_2018_2020_005dg.netcdf,FR,30.0,39.9,0,1,0,0,1,0,7.403181695,50.92002439,23.09424194,41.95803,8.82028,16.48463503649635,3.299379562043796,3.6667974452554746,72.28125,0.1637135036496351,1,0,0,0,4,0,0,80,300,0,3,4.5567166666666665,5.328813725490196,11.384807692307692,18.32,5.24326923076923,9.004807692307692,50.81931372549019,2020,8,0.0,0.0,233.84904470100133
64,STA-PT03085,STA-PT03085/S2A_MSIL2A_20200830T113321_N0214_R080_T29SMC_20200830T142737.npy,STA-PT03085/l3_mean_europe_2018_2020_005dg.netcdf,PT,10.0,1010.7,0,0,1,0,0,1,18.51295198,57.75563615,17.90349667,38.82972,-9.16444,15.979206204379562,3.991660583941606,1.7494981751824816,80.6355291970803,0.0819069343065693,1,0,0,281,468,0,3,748,1206,0,15,4.795638235294118,5.709622549019607,12.693846153846154,16.69375,6.425000000000001,9.323365384615384,54.77156862745098,2020,8,0.0,0.0018642593640834,81.24604922799266
69,STA.IT1857A,STA.IT1857A/S2B_MSIL2A_20201216T100329_N0214_R122_T33TUH_20201216T122746.npy,STA.IT1857A/l3_mean_europe_2018_2020_005dg.netcdf,IT,257.0,157.8,0,0,1,1,0,0,13.53767123,40.58304764,24.59178082,42.65722,13.70944,13.22550182481752,1.812198905109489,1.877107664233577,71.75821167883211,0.4437682481751825,1,0,0,297,120,0,1,877,438,0,1,4.130460784313725,5.376480392156863,7.5349038461538465,13.269326923076925,8.641923076923076,7.378269230769231,54.778333333333336,2020,12,0.0,0.0,0.0
71,STA.IT2287A,STA.IT2287A/S2A_MSIL2A_20200810T095041_N0214_R079_T33SUC_20200810T114918.npy,STA.IT2287A/l3_mean_europe_2018_2020_005dg.netcdf,IT,10.0,252.1,0,0,1,0,0,1,24.66332542,61.20622808,21.94851192,38.1307,13.34653,17.928239051094888,3.103293795620438,1.4116514598540146,72.11340328467153,0.1578193430656934,1,0,0,304,981,0,0,1353,4791,0,0,4.730937254901961,5.4901,12.274615384615384,19.000096153846155,7.383557692307692,9.436346153846154,49.01872549019608,2020,8,0.0,1117.742821104102,251.07552318659944
75,STA_ES1093A,STA_ES1093A/S2B_MSIL2A_20200711T103629_N0214_R008_T31TEE_20200711T140018.npy,STA_ES1093A/l3_mean_europe_2018_2020_005dg.netcdf,ES,6.0,252.0,1,0,0,0,0,1,5.727884838,51.53552882,20.6940875,39.79117,3.07525,18.766487226277373,4.031916058394161,1.9182299270073,74.14477189781022,0.0355474452554744,0,0,1,0,3,0,0,4,9,0,0,4.55666568627451,5.400451960784314,14.156923076923077,20.185384615384617,3.0160576923076925,10.461634615384614,38.75049019607843,2020,7,0.0,6.062746930122375,299.3126527581968
79,STA_PL0182A,STA_PL0182A/S2A_MSIL2A_20200408T101021_N0214_R022_T33UVU_20200408T161405.npy,STA_PL0182A/l3_mean_europe_2018_2020_005dg.netcdf,PL,2.0,69.2,1,0,0,0,0,1,7.502474076,58.3641347,26.94591666,53.12233,14.38225,10.523430656934307,3.0442609489051096,1.413029197080292,78.05187043795621,0.1499726277372262,0,0,1,28,142,0,0,148,582,0,0,3.059490196078431,4.295610784313726,6.233076923076923,10.385096153846153,8.746538461538462,6.353942307692307,66.8728431372549,2020,4,2.040134048461914,14.071411489852164,8.768318621692742
82,STA.DE_DETH036,STA.DE_DETH036/S2B_MSIL2A_20200801T100559_N0214_R022_T33UUS_20200801T135302.npy,STA.DE_DETH036/l3_mean_europe_2018_2020_005dg.netcdf,DE,265.0,117.2,0,0,1,0,0,1,17.85669843,52.03446582,17.80972541,50.65586,12.2052,8.806715328467153,1.7344525547445255,1.6419251824817518,79.04159671532847,0.1819525547445255,1,0,0,215,1094,0,0,644,2902,1,4,3.0707274509803923,4.453053921568627,4.953942307692308,8.490961538461537,8.481634615384616,6.1879807692307685,69.91509803921569,2020,8,0.0,0.0,0.0
83,STA.IT1152A,STA.IT1152A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT1152A/l3_mean_europe_2018_2020_005dg.netcdf,IT,25.0,262.7,0,1,0,0,0,1,28.55303826,57.2837195,30.20560748,44.79943,10.88365,15.289479927007296,1.7247080291970802,2.065200729927007,72.12679744525548,0.4422627737226278,1,0,0,267,715,0,4,869,2058,0,8,4.009073529411765,5.101210784313725,9.64576923076923,15.202403846153846,10.095096153846155,7.987211538461538,53.35147058823529,2020,4,0.0,0.0,0.0
85,STA.IT1921A,STA.IT1921A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT1921A/l3_mean_europe_2018_2020_005dg.netcdf,IT,4.0,262.7,1,0,0,0,0,1,23.53302462,59.60615037,28.1192053,44.92784,11.17795,15.294981751824814,1.7181113138686128,1.9465145985401464,72.21921532846714,0.4442700729927007,1,0,0,40,169,0,1,56,228,0,2,4.037250980392157,5.046532352941177,9.552115384615384,15.29942307692308,10.172884615384616,7.928942307692308,53.278431372549015,2020,4,0.0,0.0,0.0
86,STA-RO0181A,STA-RO0181A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TFT_20200710T120649.npy,STA-RO0181A/l3_mean_europe_2018_2020_005dg.netcdf,RO,275.0,55.2,0,0,1,0,1,0,14.72810561,54.99727391,21.92993808,47.19514,23.04705,10.26668795620438,1.94485401459854,2.0957390510948906,76.59871350364963,0.4772718978102189,1,0,0,151,260,0,0,519,779,0,2,3.602763725490196,4.790516666666667,5.4279807692307696,10.119903846153846,9.680384615384614,6.500288461538461,62.940294117647056,2020,7,0.0,0.0,0.0
88,STA.DE_DEHE042,STA.DE_DEHE042/S2A_MSIL2A_20200921T103031_N0214_R108_T32UMB_20200921T151006.npy,STA.DE_DEHE042/l3_mean_europe_2018_2020_005dg.netcdf,DE,172.0,314.1,1,0,0,0,0,1,16.35792423,51.14620349,14.54200986,50.53297,8.6844,10.228357664233576,2.7216332116788324,1.8233485401459848,78.74089416058393,0.2536861313868613,0,0,1,42,363,0,0,334,1776,0,0,3.1213715686274512,4.510214705882353,6.337788461538461,10.024519230769233,8.71826923076923,6.542115384615385,70.1221568627451,2020,9,0.0,0.0,0.0
89,STA-SI0038A,STA-SI0038A/S2B_MSIL2A_20200410T100029_N0214_R122_T33TUL_20200410T134801.npy,STA-SI0038A/l3_mean_europe_2018_2020_005dg.netcdf,SI,56.0,109.8,0,0,1,0,0,1,18.3988955,69.5932929,18.37746479,45.54301,13.71352,13.740255474452557,2.102673357664233,3.22646897810219,76.12203467153284,0.3102737226277371,1,0,0,177,450,0,0,562,1381,0,1,3.90402156862745,4.937896078431372,9.305673076923076,13.97346153846154,6.51451923076923,8.100192307692307,57.27362745098039,2020,4,18.203760147094727,555.9426884952852,200.12509111388877
91,STA-RO0107A,STA-RO0107A/S2B_MSIL2A_20200918T093039_N0214_R136_T34TET_20200918T120935.npy,STA-RO0107A/l3_mean_europe_2018_2020_005dg.netcdf,RO,139.0,75.0,0,0,1,0,0,1,25.9775794,52.06740895,19.96440129,47.06872,21.92723,12.297974452554744,2.090255474452555,1.898886861313869,73.80659671532847,0.4070164233576642,0,0,1,304,555,0,0,1227,2002,0,1,3.630113725490196,4.710450980392157,6.517788461538462,12.450096153846154,10.20528846153846,6.688269230769231,62.03156862745098,2020,9,0.0,0.0,0.0
92,STA_ES0651A,STA_ES0651A/S2B_MSIL2A_20200813T104629_N0214_R051_T30SXG_20200813T140017.npy,STA_ES0651A/l3_mean_europe_2018_2020_005dg.netcdf,ES,60.0,131.1,0,1,0,0,1,0,20.51015406,70.31393021,19.1392681,37.60203,-0.91436,19.08025547445256,3.973722627737227,1.1931295620437956,76.41910583941606,0.0423266423357664,1,0,0,302,25,0,1,475,58,0,2,4.810383333333333,5.504070588235295,15.101057692307691,20.001730769230768,2.590192307692308,11.120865384615383,34.67421568627451,2020,8,0.0641562193632125,25.40243121498596,293.40446087329144
93,STA_PL0048A,STA_PL0048A/S2A_MSIL2A_20200601T095041_N0214_R079_T34UCF_20200601T112207.npy,STA_PL0048A/l3_mean_europe_2018_2020_005dg.netcdf,PL,70.0,1857.0,0,0,1,0,0,1,10.86384468,55.01717923,19.01213279,54.56084,18.49333,9.569653284671531,4.545967153284672,1.7442335766423356,83.22631386861313,0.1054288321167883,1,0,0,110,553,0,1,274,1963,0,12,3.041539215686275,4.165022549019608,6.536442307692307,9.886346153846157,4.703653846153847,6.569038461538461,72.26460784313726,2020,6,0.0,1452.2404930257817,577.7242844479554
94,STA-FR14022,STA-FR14022/S2B_MSIL2A_20200721T103629_N0214_R008_T31UEQ_20200721T142714.npy,STA-FR14022/l3_mean_europe_2018_2020_005dg.netcdf,FR,86.0,69.6,0,1,0,0,0,1,13.25079868,53.38048498,16.39096842,48.96222,4.36,11.457016423357665,2.820629562043796,2.094270072992701,79.75338503649634,0.2188686131386861,1,0,0,223,1373,0,1,878,7000,0,3,3.455213725490196,4.790882352941177,7.757403846153846,11.311923076923078,9.022980769230768,7.017019230769231,65.0264705882353,2020,7,61.01507568359375,5.577361266416985,3.623475010355469
98,STA-SI0033A,STA-SI0033A/S2B_MSIL2A_20200914T095029_N0214_R079_T33TWM_20200914T121343.npy,STA-SI0033A/l3_mean_europe_2018_2020_005dg.netcdf,SI,188.0,86.3,1,0,0,0,0,1,12.62491271,55.51328125,25.86865672,46.65209,16.19132,11.591313868613138,1.991459854014599,2.260656934306569,76.94843978102189,0.397883211678832,0,0,1,61,396,0,0,149,797,0,3,3.686435294117647,4.831487254901961,6.982788461538462,11.644615384615385,9.8525,6.941634615384615,61.893921568627455,2020,9,0.0,0.0,0.0
100,STA-FR23123,STA-FR23123/S2B_MSIL2A_20200806T105619_N0214_R094_T30UXU_20200806T131026.npy,STA-FR23123/l3_mean_europe_2018_2020_005dg.netcdf,FR,51.0,58.8,0,0,1,0,0,1,12.82199427,54.55350766,14.67774408,48.0693,-0.76813,11.988850364963502,2.9797354014598545,2.1896532846715324,81.9466605839416,0.1656478102189781,1,0,0,251,2894,0,0,1034,8753,1,3,3.442898039215686,4.83741274509804,8.548461538461538,12.162596153846154,9.329423076923076,7.296346153846154,61.587156862745104,2020,8,0.0,0.0,0.0
101,STA_ES1563A,STA_ES1563A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1563A/l3_mean_europe_2018_2020_005dg.netcdf,ES,589.0,827.3,0,0,1,1,0,0,28.30869465,56.46038519,18.88680332,40.47933,-3.37795,13.56860401459854,2.413932481751825,1.3882572992700732,65.16445255474453,0.266970802919708,1,0,0,317,613,0,2,995,2080,1,3,4.694886274509804,5.665847058823529,5.579807692307692,14.267211538461538,12.990288461538462,6.437211538461539,47.62950980392157,2020,9,0.0,0.0,0.0
106,STA-FR30019,STA-FR30019/S2A_MSIL2A_20200623T103031_N0214_R108_T32ULU_20200623T142851.npy,STA-FR30019/l3_mean_europe_2018_2020_005dg.netcdf,FR,325.0,61.7,0,0,1,0,0,1,13.29782608,52.40777356,14.12906976,48.17265,6.45282,10.496587591240877,1.9307025547445256,2.4478284671532844,81.28577554744525,0.3332025547445255,1,0,0,173,1764,0,0,679,5044,0,0,3.423401960784314,4.801783333333334,7.079615384615384,10.350961538461538,8.99875,6.967692307692308,66.58813725490195,2020,6,0.0,0.0,0.0
